fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.243506552,0.243345317,0.059295441,,0.243345317,81.11509982
1,0.5,0.056632334,0.045950977,0.003207221,,0.043808444,9.190195138
2,0.7,0.056435545,0.044801551,0.003184971,,-0.037148106,6.400221519
3,1,0.082891513,0.06584775,0.006871003,,-0.060090905,6.584774965
4,1.2,0.092783658,0.07986447,0.008608807,,0.075272459,6.655372161
5,1.5,0.18530406,0.165767446,0.034337595,,-0.164936104,11.05116296
6,1.7,0.127558108,0.109688748,0.016271071,,0.107330822,6.452279082
7,2,0.084310676,0.067601769,0.00710829,,0.01766381,3.380088432
8,2.2,0.203011401,0.177241414,0.041213629,,-0.174442427,8.056427679
9,2.5,0.403202497,0.334733584,0.162572254,,0.334733584,13.3893433
10,2.7,0.236233378,0.202053077,0.055806209,,0.190892913,7.483447145
11,3,0.69785699,0.684922743,0.487004378,,-0.684922743,22.83075802
