fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.151724061,0.144375823,0.023020191,,0.144375823,48.12527086
1,0.5,0.073211863,0.057045147,0.005359977,,0.009028517,11.40902908
2,0.7,0.091066644,0.072505036,0.008293134,,-0.036645496,10.35786231
3,1,0.091105398,0.074448282,0.008300194,,-0.020186376,7.444828138
4,1.2,0.111073922,0.086036702,0.012337416,,0.052757179,7.169724855
5,1.5,0.135541597,0.114933857,0.018371525,,-0.108668998,7.662257064
6,1.7,0.059077753,0.046704559,0.003490181,,0.028343129,2.747326926
7,2,0.12886338,0.10661926,0.016605771,,-0.092158434,5.330962989
8,2.2,0.140685149,0.118682001,0.019792311,,0.082666881,5.394636251
9,2.5,0.156718575,0.138101046,0.024560712,,0.130715411,5.524041821
10,2.7,0.227738297,0.20975023,0.051864732,,-0.20975023,7.768526883
11,3,0.283675367,0.268215721,0.080471714,,-0.267834799,8.940523992
