fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.1720225,0.171442413,0.029591741,,0.171442413,57.14746674
1,0.5,0.085081144,0.074707215,0.007238801,,-0.074707215,14.94144261
2,0.7,0.19781194,0.195188431,0.039129564,,-0.195188431,27.88406167
3,1,0.252814911,0.250665243,0.063915379,,-0.250665243,25.06652402
4,1.2,0.283301288,0.282205026,0.08025962,,-0.282205026,23.51708433
5,1.5,0.426314534,0.425307653,0.181744082,,-0.425307653,28.35384334
6,1.7,0.42248675,0.421596915,0.178495054,,-0.421596915,24.79981766
7,2,0.562747066,0.561768479,0.31668426,,-0.561768479,28.08842383
8,2.2,0.588807272,0.586709667,0.346694004,,-0.586709667,26.66862055
9,2.5,0.697259415,0.696077758,0.486170692,,-0.696077758,27.84311021
10,2.7,1.027505695,1.025962623,1.055767954,,-1.025962623,37.99861487
11,3,1.031665702,1.027336067,1.064334122,,-1.027336067,34.24453545
