fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.224873592,0.224722728,0.050568132,,0.224722728,74.90757037
1,0.5,0.045626294,0.037023389,0.002081759,,-0.012312325,7.40467766
2,0.7,0.046588275,0.032016073,0.002170467,,-0.012491375,4.573724708
3,1,0.032503413,0.023325165,0.001056472,,0.008068873,2.332516468
4,1.2,0.039293963,0.031517215,0.001544015,,0.021735499,2.626434438
5,1.5,0.063051362,0.052901229,0.003975474,,-0.039815587,3.526748554
6,1.7,0.042931214,0.033140572,0.001843089,,0.013915819,1.949445364
7,2,0.063649899,0.048858156,0.00405131,,-0.011133137,2.442907798
8,2.2,0.083155391,0.059961095,0.006914819,,-0.031881847,2.72550424
9,2.5,0.156285273,0.132063942,0.024425087,,0.123842335,5.282557657
10,2.7,0.20085354,0.200102558,0.040342144,,-0.200102558,7.411205699
11,3,0.277995617,0.275608802,0.077281563,,-0.275608802,9.186960031
