fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.252802969,0.252698913,0.063909341,,0.252698913,84.23296492
1,0.5,0.047848562,0.040628892,0.002289485,,-0.015443394,8.125778155
2,0.7,0.039167388,0.032027493,0.001534084,,-0.025370232,4.575356087
3,1,0.033319902,0.027652801,0.001110216,,-0.013813863,2.76528004
4,1.2,0.054914969,0.043002088,0.003015654,,0.037334542,3.583507167
5,1.5,0.042841965,0.035955348,0.001835434,,-0.014472966,2.397023185
6,1.7,0.052597898,0.04219926,0.002766539,,0.014467844,2.482309327
7,2,0.060272047,0.048694823,0.00363272,,0.004417155,2.434741127
8,2.2,0.083142101,0.066795399,0.006912609,,-0.009772837,3.036154429
9,2.5,0.171860064,0.150537083,0.029535882,,0.137015102,6.021483302
10,2.7,0.240767205,0.239246099,0.057968847,,-0.239246099,8.86096644
11,3,0.352253948,0.345882702,0.124082844,,-0.345882702,11.52942336
