fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.257134354,0.256989216,0.066118076,,0.256989216,85.66306561
1,0.5,0.039407999,0.032460777,0.00155299,,-0.01245434,6.492155184
2,0.7,0.038076304,0.029094939,0.001449805,,-0.015314906,4.156419902
3,1,0.03505909,0.028300941,0.00122914,,0.008266282,2.830094071
4,1.2,0.032105366,0.025275507,0.001030755,,-0.004427781,2.106292147
5,1.5,0.065967397,0.054416595,0.004351698,,-0.046400051,3.627772943
6,1.7,0.059237019,0.05052784,0.003509024,,0.03637357,2.972225762
7,2,0.062661738,0.049293481,0.003926493,,-0.018183213,2.464674043
8,2.2,0.185582552,0.17255295,0.034440883,,0.168072693,7.843315721
9,2.5,0.158031136,0.143404441,0.02497384,,0.143404441,5.736177612
10,2.7,0.279127542,0.278147156,0.077912185,,-0.278147156,10.30174631
11,3,0.332485518,0.330831914,0.11054662,,-0.330831914,11.02773043
