fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.231394192,0.229696907,0.053543272,,0.229696907,76.56562991
1,0.5,0.090987033,0.079768128,0.00827864,,0.001426238,15.95362536
2,0.7,0.086075096,0.073675323,0.007408922,,-0.042560095,10.52504619
3,1,0.119491929,0.096013403,0.014278321,,0.008415639,9.601340198
4,1.2,0.098642101,0.079587055,0.009730264,,0.020532157,6.632254252
5,1.5,0.098830479,0.079438416,0.009767464,,-0.065011576,5.295894349
6,1.7,0.094331623,0.07569954,0.008898455,,0.030403758,4.452913989
7,2,0.092092089,0.069775558,0.008480953,,-0.007163939,3.488777858
8,2.2,0.112666962,0.085097026,0.012693844,,-0.022860001,3.868046518
9,2.5,0.272888324,0.235067053,0.074468037,,0.216114535,9.402682076
10,2.7,0.211928156,0.209085603,0.044913543,,-0.209085603,7.743911048
11,3,0.339364991,0.330166919,0.115168597,,-0.330166919,11.00556394
