fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.28692638055428693,0.2864902526140213,0.08232674785798348,,0.2864902526140213,95.49674389341598
1,0.5,0.06452737840810262,0.050242850184440614,0.004163782564222469,,-0.01819749653339386,10.048569835916725
2,0.7,0.0562787026151146,0.04574361205101013,0.0031672923680405064,,-0.02185953617095947,6.534801739505576
3,1.0,0.08685528503928175,0.07239990174770355,0.00754384053925488,,-0.06802023589611053,7.239990102370456
4,1.2,0.11090022448443941,0.090810124874115,0.012298859790699055,,0.08274035215377808,7.567510042407834
5,1.5,0.1864569544670452,0.16657962203025817,0.034766195869125764,,-0.16449772238731383,11.10530806131516
6,1.7,0.1848411688635652,0.16871151685714722,0.03416625770684902,,0.16871151685714722,9.924206537205652
7,2.0,0.10192117334202579,0.0908670437335968,0.010387925575415267,,-0.03401785016059875,4.54335216396308
8,2.2,0.20902693142772538,0.19768165111541747,0.04369225806209101,,-0.19768165111541747,8.98552936055592
9,2.5,0.264569439254491,0.23668639183044435,0.06999698818743581,,0.23158828735351564,9.46745563534795
10,2.7,0.16003287756661969,0.13451900959014892,0.025610521902252686,,-0.0957818365097046,4.982185433934786
11,3.0,0.5836010254456395,0.566446590423584,0.3405901569012019,,-0.566446590423584,18.881552951180957
