fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.24931799898531823,0.23733749747276306,0.06215946461804314,,0.23733749747276306,79.11249337685655
1,0.5,0.13417316242973992,0.1067678864300251,0.018002437516397372,,-0.06452773407101631,21.35357685893348
2,0.7,0.07765382353460994,0.06322654604911804,0.00603011630954434,,-0.05429438352584839,9.032363746089048
3,1.0,0.08793737914341253,0.07539750218391418,0.007732982650612286,,-0.009655784368515014,7.539750142993917
4,1.2,0.06160628872795953,0.05152521252632141,0.0037953348108327135,,-0.0023533070087432863,4.293767504126397
5,1.5,0.09104367231689024,0.07294429421424865,0.008288950268945286,,-0.009829851388931275,4.862952915196892
6,1.7,0.05564616184634347,0.0434148371219635,0.0030964953282294518,,0.025717869997024537,2.55381386169581
7,2.0,0.08670774596800353,0.07076291680335998,0.0075182332108518326,,-0.034685360193252565,3.5381458224772704
8,2.2,0.13076104974609154,0.10593103766441345,0.017098452130699826,,0.034877921342849734,4.8150470403143375
9,2.5,0.15298097539341998,0.11643556356430054,0.02340317883232217,,0.03487033128738403,4.657422523942332
10,2.7,0.13374331097911304,0.11031752347946167,0.017887273231655742,,-0.06361733198165893,4.0858341156518785
11,3.0,0.3679678854659955,0.327566831111908,0.135400364734316,,-0.25781201124191283,10.918894334000617
