fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.152617973,0.152396533,0.023292246,,0.152396533,50.79884059
1,0.5,0.12505493,0.122963288,0.015638735,,-0.122963288,24.59265719
2,0.7,0.092354693,0.090096185,0.008529389,,-0.090096185,12.87088364
3,1,0.262873839,0.255023731,0.069102655,,-0.255023731,25.50237284
4,1.2,0.295496314,0.294540414,0.087318072,,-0.294540414,24.54503334
5,1.5,0.437824912,0.43716676,0.191690654,,-0.43716676,29.14445047
6,1.7,0.425390396,0.424701415,0.180956989,,-0.424701415,24.98243535
7,2,0.609909244,0.608498466,0.371989286,,-0.608498466,30.42492315
8,2.2,0.650985216,0.649969423,0.423781751,,-0.649969423,29.5440639
9,2.5,0.612098687,0.61009843,0.374664802,,-0.61009843,24.4039371
10,2.7,0.996852358,0.996357766,0.993714624,,-0.996357766,36.90213871
11,3,1.225975816,1.224727627,1.503016701,,-1.224727627,40.8242541
