fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.2389720297984376,0.23848284125328065,0.057107631025985345,,0.23848284125328065,79.4942746091324
1,0.5,0.06350246852905504,0.05035147845745087,0.004032563509283627,,-0.04167524874210358,10.070295490084263
2,0.7,0.02712147434934325,0.022219387888908385,0.0007355743708820838,,0.016794161200523378,3.17419827855464
3,1.0,0.03063195979815733,0.024291267395019533,0.0009383169610759268,,-0.002937285900115967,2.429126715210687
4,1.2,0.050113139430279,0.04364915609359741,0.002511326743558584,,0.04182025671005249,3.637429499616076
5,1.5,0.09655985702981408,0.08859252095222474,0.009323805989618137,,-0.08822908520698547,5.906168024107196
6,1.7,0.1629592657158108,0.15800827741622925,0.026555722282636224,,0.15800827741622925,9.294604238515067
7,2.0,0.16831843327196436,0.16192601323127748,0.02833109497912872,,-0.16192601323127748,8.09630062108237
8,2.2,0.0998118656004838,0.08277956008911133,0.009962408514649041,,0.07108640193939209,3.7627071781200923
9,2.5,0.39547985856564377,0.388273286819458,0.1564043185311016,,0.388273286819458,15.530931410654594
10,2.7,0.26086589982077657,0.25828211545944213,0.06805101768930343,,-0.25828211545944213,9.566004071904278
11,3.0,0.38323715028290367,0.38057228803634646,0.1468707133569609,,-0.38057228803634646,12.685742892259075
