fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.30970235954215747,0.309571795463562,0.09591555150597976,,0.309571795463562,103.19059094774194
1,0.5,0.059389278103769476,0.04734991490840912,0.0035270863536868723,,-0.0373182862997055,9.469982792282169
2,0.7,0.04350924116594835,0.03563012599945068,0.0018930540668366546,,-0.007309358119964599,5.090018013889472
3,1.0,0.03946884980338367,0.030541927218437195,0.0015577901048020593,,-0.015462519526481628,3.0541926913017927
4,1.2,0.05092933419920336,0.042107986211776735,0.002593797081974145,,0.03423827767372131,3.508998682304659
5,1.5,0.10129158194005719,0.09092815995216369,0.010259984571919319,,-0.09009055256843566,6.06187728973173
6,1.7,0.17338447204919483,0.16660463571548462,0.030062175147778022,,0.16660463571548462,9.800272356607255
7,2.0,0.10947151546899594,0.097708101272583,0.011984012699078618,,-0.097708101272583,4.885405039202125
8,2.2,0.08831001687008051,0.0730276083946228,0.007798659079593904,,0.07068801164627075,3.319436658174927
9,2.5,0.24740669592649125,0.23596550941467284,0.06121007318926331,,0.23596550941467284,9.438620338832434
10,2.7,0.2621941171771568,0.2598939156532288,0.06874575508230862,,-0.2598939156532288,9.625700374102488
11,3.0,0.3571630999890255,0.35523888111114504,0.12756547999377063,,-0.35523888111114504,11.84129599756718
